node_id,category,physics_domain,subsystem
1,Component,GeneralPhysics,General
2,Component,GeneralPhysics,General
3,Component,GeneralPhysics,General
4,Parameter,GeneralPhysics,General
5,Component,GeneralPhysics,Expansion
6,Component,GeneralPhysics,General
7,Component,GeneralPhysics,General
8,Component,GeneralPhysics,General
9,Component,GeneralPhysics,General
10,Component,GeneralPhysics,General
11,Component,GeneralPhysics,General
12,BoundaryCondition,GeneralPhysics,General
13,BoundaryCondition,GeneralPhysics,General
14,Component,GeneralPhysics,General
15,Component,GeneralPhysics,Exhaust
16,Parameter,GeneralPhysics,General
17,Parameter,GeneralPhysics,General
18,Parameter,GeneralPhysics,General
19,Parameter,GeneralPhysics,General
20,Parameter,GeneralPhysics,General
21,Parameter,GeneralPhysics,General
22,Parameter,GeneralPhysics,General
23,Parameter,GeneralPhysics,General
24,Equation,GeneralPhysics,General
25,Equation,GeneralPhysics,General
26,Equation,GeneralPhysics,General
27,Parameter,FluidDynamics,General
28,Parameter,FluidDynamics,General
29,Parameter,GeneralPhysics,General
30,Parameter,GeneralPhysics,General
31,Parameter,GeneralPhysics,General
32,Parameter,FluidDynamics,General
33,Parameter,FluidDynamics,General
34,Parameter,FluidDynamics,General
35,Parameter,FluidDynamics,General
36,Parameter,Thermodynamics,General
37,Parameter,FluidDynamics,General
38,Parameter,FluidDynamics,General
39,Equation,FluidDynamics,General
40,Parameter,GeneralPhysics,General
41,Parameter,GeneralPhysics,General
42,Parameter,GeneralPhysics,General
43,BoundaryCondition,FluidDynamics,General
44,Parameter,GeneralPhysics,General
45,Parameter,FluidDynamics,General
46,Parameter,FluidDynamics,General
47,Parameter,GeneralPhysics,General
48,Parameter,FluidDynamics,General
49,Component,GeneralPhysics,General
50,Equation,GeneralPhysics,General
51,Parameter,GeneralPhysics,General
52,Parameter,FluidDynamics,General
53,Parameter,FluidDynamics,Exhaust
54,Parameter,GeneralPhysics,General
55,Parameter,FluidDynamics,General
56,Parameter,GeneralPhysics,General
